sensitivity: 9,Num of Targets: 7,Deadzone: 0.101,Controller: Controller (Xbox One For Windows),Random: True
Time,Misses,Width,Distance
39533,0,50,533.4275958365859
2048,0,50,305.3948264132842
2144,0,50,336.0014880919428
1652,0,50,314.2308068920041
1664,0,50,336.41194984720744
2336,0,50,324.27920068977596
2832,0,50,319.3900436770063
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
6384,0,21,514.4326972500874
9504,0,21,518.3213289070786
9072,0,21,504.42045953747754
4580,0,21,498.9799595174139
13848,1,21,506.2617899861691
4340,1,21,527.2428283058955
7796,1,21,555.6725654555927
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
33884,2,20,321.06852851065923
2724,2,20,314.42805218364344
2340,2,20,314.03343771006297
3176,2,20,315.3173005085512
3652,2,20,311.0771608459869
